,comparison,correlation,p_val
128,MDA 12 vs HCC_MK 8,0.21547391613839917,1.545405619549976e-12
129,MDA 12 vs HCC_MK 9,0.217713830521642,9.50828891167618e-15
130,MDA 12 vs HCC_MK 10,-0.3178403060755772,2.6756108959764648e-49
131,MDA 13 vs HCC_MK 1,-0.49090909090909085,0.14965567342083677
132,MDA 13 vs HCC_MK 2,-0.36648001030966887,4.591230902088083e-92
133,MDA 13 vs HCC_MK 3,-0.3716893635881122,1.4428732504203484e-43
134,MDA 13 vs HCC_MK 4,0.047929518077367665,0.11017433164437306
135,MDA 13 vs HCC_MK 5,-0.2723472250801355,7.937566301349838e-29
136,MDA 13 vs HCC_MK 6,-0.22127427867793875,5.739062605550995e-24
137,MDA 13 vs HCC_MK 7,-0.33691553793848233,3.583762041781518e-55
138,MDA 13 vs HCC_MK 8,0.2670151652755554,2.6908562000145763e-21
139,MDA 13 vs HCC_MK 9,-0.39755094886651116,4.381960782214983e-55
140,MDA 13 vs HCC_MK 10,0.04654808506284129,0.028763275923094186
141,MDA 14 vs HCC_MK 1,-0.7857142857142859,0.03623846267982713
142,MDA 14 vs HCC_MK 2,-0.1346524877468315,3.879523168466862e-09
143,MDA 14 vs HCC_MK 3,0.01687943794239819,0.614245805803453
144,MDA 14 vs HCC_MK 4,0.09430783926649296,0.007912355158681859
145,MDA 14 vs HCC_MK 5,-0.16670709264189143,2.4841312791176396e-08
146,MDA 14 vs HCC_MK 6,0.022100141407087517,0.418199099034524
147,MDA 14 vs HCC_MK 7,-0.15636618512707487,6.1798505714056e-09
148,MDA 14 vs HCC_MK 8,0.499272839681484,1.795942832311253e-56
149,MDA 14 vs HCC_MK 9,-0.19027262992224006,1.3711605340906417e-09
150,MDA 14 vs HCC_MK 10,-0.42407554618177923,1.0694145026811703e-67
151,MDA 15 vs HCC_MK 1,-0.6000000000000001,0.3999999999999999
152,MDA 15 vs HCC_MK 2,-0.07836007601379218,0.0003274132997851974
153,MDA 15 vs HCC_MK 3,0.04368848946332053,0.16282808457425751
154,MDA 15 vs HCC_MK 4,0.08340098552270768,0.009176853767857044
155,MDA 15 vs HCC_MK 5,-0.07799410994187427,0.005134401830105943
156,MDA 15 vs HCC_MK 6,-0.020486817602575574,0.4165133184916283
157,MDA 15 vs HCC_MK 7,0.01590720032776999,0.5309150934053786
158,MDA 15 vs HCC_MK 8,0.04066180066180067,0.19887540707815707
159,MDA 15 vs HCC_MK 9,-0.3281629786216969,2.3984503913144306e-32
160,MDA 15 vs HCC_MK 10,0.07138498351203681,0.00298713216678751
161,MDA 16 vs HCC_MK 1,,
162,MDA 16 vs HCC_MK 2,0.23723671786625786,3.8502007895422514e-05
163,MDA 16 vs HCC_MK 3,0.4186393999765616,3.60759875314215e-08
164,MDA 16 vs HCC_MK 4,-0.026350178281404592,0.7598726176571837
165,MDA 16 vs HCC_MK 5,0.42893964148205704,3.246578868411715e-11
166,MDA 16 vs HCC_MK 6,-0.2373173816879911,0.0002817751222441926
167,MDA 16 vs HCC_MK 7,0.21131951097659354,0.001542042241275027
168,MDA 16 vs HCC_MK 8,-0.4764213806819346,5.499866191392935e-10
169,MDA 16 vs HCC_MK 9,0.2845985641928039,9.86767780111467e-05
170,MDA 16 vs HCC_MK 10,0.3809009423121122,2.542848712686074e-09
171,MDA_LM vs HCC_MK_LM,0.005139261732262327,0.7422958785250884
